"trial","ref_position","var_area","response","correct","rt"
1,"R",8.62138893269002,"R",TRUE,2.78700017929077
2,"R",9.11724789137952,"R",FALSE,1.87999987602234
3,"R",10.9034461351112,"L",TRUE,1.98499989509583
4,"R",8.38747854484245,"L",FALSE,1.3050000667572
5,"R",9.94410469150171,"L",TRUE,0.584000110626221
6,"L",12.8211323760916,"L",FALSE,0.578000068664551
7,"L",12.8932948189322,"L",FALSE,0.584999799728394
8,"L",9.20324085373431,"L",FALSE,0.583000183105469
9,"R",11.6385206745472,"L",TRUE,0.598000049591064
10,"L",10.3541769571602,"L",FALSE,0.592000007629395
11,"L",12.4330885675736,"L",FALSE,0.290999889373779
12,"R",10.6692519574426,"L",TRUE,0.190999984741211
13,"L",12.890579063911,"L",FALSE,0.188999891281128
14,"L",10.7133232939523,"L",FALSE,0.193000078201294
15,"R",12.9179325764999,"L",TRUE,0.200000047683716
16,"L",12.6564869598951,"L",FALSE,0.177000045776367
17,"L",13.6752310579177,"L",FALSE,0.0929999351501465
18,"L",14.046589436708,"L",FALSE,0.194000005722046
19,"L",9.00159926107153,"L",FALSE,0.198999881744385
20,"L",8.22066799341701,"L",TRUE,0.194999933242798
21,"L",13.6748257800937,"L",FALSE,0.205000162124634
22,"L",9.57208899385296,"L",FALSE,0.0810000896453857
23,"L",11.8547280172352,"L",FALSE,0.197000026702881
24,"R",9.93784601148218,"L",TRUE,0.180999994277954
25,"R",12.0228961682878,"L",TRUE,0.197999954223633
26,"L",13.2678852241952,"L",FALSE,0.19599986076355
27,"L",12.7178842921276,"L",FALSE,0.198999881744385
28,"L",9.43527621007524,"L",FALSE,0.190999984741211